mean_variance	median_variance	nun5	nun20	nun50
"AGAP000002"	7.8821901818989	7.57977052789178	118	345	621
"AGAP000005"	1.15037232292944	0.731355925489343	78	264	495
"AGAP000007"	7.77236698802824	7.0073138818494	65	172	332
"AGAP000008"	5.91819106291277	5.49158768912946	74	170	265
"AGAP000009"	6.61731069440935	5.95530226611586	83	160	255
"AGAP000010"	9.00800600605335	8.47659549964268	69	131	196
"AGAP000011"	6.34703405044641	5.88635171160762	102	282	499
"AGAP000012"	8.41871135543415	7.12082773825233	47	100	218
"AGAP000013"	3.07165843603568	2.59074395592751	107	321	588
"AGAP000015"	10.0688788874836	8.92730781229105	28	61	119
"AGAP000016"	5.77751409543099	5.29024336735333	78	176	281
"AGAP000017"	10.0856905747771	8.4649235383694	17	53	114
"AGAP000018"	9.56410776103391	8.82248458637202	48	96	172
"AGAP000019"	9.85499126024308	8.32345551874249	15	61	150
"AGAP000020"	10.4830723293318	8.81993953730472	9	27	63
"AGAP000021"	3.77890297985173	3.58244181922658	93	261	467
"AGAP000022"	8.17319200609729	6.94529329524815	45	120	267
"AGAP000023"	7.48010851810133	6.79626349429796	68	184	375
"AGAP000025"	9.53604490932805	8.56107610383044	50	94	148
"AGAP000028"	3.78015469672669	3.34047473351767	139	455	900
"AGAP000029"	10.3871643141506	8.77979687065712	13	31	64
"AGAP000032"	10.1923053728561	8.65713063114364	9	34	75
"AGAP000033"	8.37283736068417	7.84828191502699	58	128	205
"AGAP000035"	10.5706699800579	8.90547674994147	10	28	61
"AGAP000037"	10.1309801940035	8.71924770239276	14	36	76
"AGAP000038"	8.38172819010658	7.88567744348832	53	114	187
"AGAP000039"	3.91462170319005	3.7809841328892	95	248	503
"AGAP000040"	9.31941931522418	8.26944717815779	67	152	251
"AGAP000041"	8.52909601751398	7.77033496673006	49	92	159
"AGAP000042"	10.5303527130818	8.83410920820887	9	28	62
"AGAP000043"	9.34108685176996	8.54459788391173	31	78	140
"AGAP000044"	8.11374892682533	7.37217825512871	61	142	242
"AGAP000045"	9.00253328509267	8.19919555676262	40	87	148
"AGAP000046"	9.68998063319554	8.52140279721853	24	53	103
