gene_name	chro2	tsne1	tsne2	tsne1_S	tsne2_S
AGAP000002	X	-5.173470071	-0.953897422	2.99172794	5.387618756
AGAP000005	X	-1.074953511	-0.00228343	0.151213589	0.534475366
AGAP000007	X	3.9880107	5.156444193	5.106574455	2.69092032
AGAP000008	X	3.795448102	4.486492367	3.464019473	2.528289213
AGAP000009	X	3.943395803	4.573642318	4.463324716	2.975583158
AGAP000010	X	-1.055783391	7.595526193	8.218104437	0.46350331
AGAP000011	X	-1.264335155	4.701327292	2.828389217	-3.511338135
AGAP000012	X	2.037609513	7.156395487	6.696978358	2.201461126
AGAP000013	X	-0.330036698	2.660070399	0.703210353	-2.767366249
AGAP000015	X	-0.975628311	8.829443694	9.375734898	0.69853771
AGAP000016	X	3.421706925	3.911238923	3.477646287	1.428258148
AGAP000017	X	0.966021627	9.078149689	8.93462065	2.340370696
AGAP000018	X	-1.242240152	7.780902545	8.686863848	-0.527119197
AGAP000019	X	1.030726862	8.847504954	8.289909731	2.409659221
AGAP000020	X	0.005062455	9.688579859	9.758085952	1.595190978
AGAP000021	X	2.449542594	3.166480984	2.932860235	2.299671256
AGAP000022	X	2.568429648	6.490726947	5.966228455	2.442616832
AGAP000023	X	0.113122633	6.270646695	6.722911048	0.211645435
AGAP000025	X	-0.568727169	8.129695969	8.839129927	0.645736763
AGAP000028	X	1.923777603	3.362014317	4.945850393	1.053183609
AGAP000029	X	0.007332079	9.589823569	9.683034309	1.549746575
AGAP000032	X	0.30834394	9.372386339	9.497474376	1.758585165
AGAP000033	X	-0.450741087	7.365751095	7.554785091	0.167416023
AGAP000035	X	-0.169358981	9.759657712	9.916623873	1.607627536
AGAP000037	X	-0.114822996	9.219367228	9.41198447	1.358566974
AGAP000038	X	-0.439238048	7.330048915	7.409575354	1.068097961
AGAP000039	X	2.444206703	2.370820241	3.259123496	-0.491951201
AGAP000040	X	-0.604040948	7.004761104	8.357939188	0.085980882
AGAP000041	X	0.614207097	7.658717252	7.784716929	1.576361694
AGAP000042	X	0.041024846	9.736345555	9.783530829	1.583386603
AGAP000043	X	-0.883889531	7.905502762	8.554644686	0.423309532
AGAP000044	X	-5.79E-05	6.994583902	7.458441353	0.996913858
AGAP000045	X	-0.172799718	8.017414233	8.223813626	0.978242713
AGAP000046	X	-0.022257897	8.778547039	8.867780562	1.347562069
AGAP000047	X	0.012265465	7.281232641	7.44516391	0.835384146
AGAP000048	X	-0.082032535	9.678773937	9.788524742	1.521885601
AGAP000049	X	-0.812792793	7.800791288	8.444184888	-0.149724514
AGAP000051	X	-1.375835957	6.702131234	7.54933322	-0.512228233
AGAP000053	X	1.180980572	6.340235997	5.649895146	0.449068539
AGAP000054	X	0.48209144	8.956460401	8.899802346	1.764481327
AGAP000055	X	-0.164370551	8.778970674	9.037992813	1.112608442
AGAP000056	X	-0.741880191	6.611016459	7.42375314	1.25632044
AGAP000057	X	0.056606118	8.32782774	8.399494495	1.35839462
AGAP000058	X	0.251012374	9.634077937	9.592250672	1.826093393
AGAP000062	X	-0.971383598	7.72205396	8.400082811	0.242869519
AGAP000063	X	-0.570075269	7.708421265	8.248453759	0.488674016
AGAP000064	X	-0.915208218	8.783089374	8.360453013	1.209748681
AGAP000065	X	-0.196444842	9.374172753	9.603213534	1.396777024
AGAP000066	X	0.557954657	8.260826118	7.798177048	2.07577914
AGAP000067	X	-1.038973489	3.102833151	0.800730038	-2.262050715
AGAP000068	X	-3.464216279	1.297826913	6.056886496	2.228709718
AGAP000069	X	1.619543626	6.376175537	5.799213107	1.864429812
AGAP000070	X	3.216996363	5.740038756	4.929608407	2.831953784
AGAP000071	X	1.916245349	6.570182371	5.82505956	2.049285194
AGAP000072	X	-0.005774561	-0.850936577	0.089481177	-2.531204952
AGAP000073	X	1.29085018	6.931610656	6.262944808	1.392737683
AGAP000074	X	-0.07594179	8.856907979	8.939083989	1.532211251
AGAP000075	X	0.002907348	8.703981651	8.8282572	1.263922628
AGAP000076	X	-0.692675232	8.23811675	8.423091245	0.054241653
AGAP000078	X	0.708531792	5.869267424	6.222312932	1.596775279
AGAP000079	X	0.197570684	0.905111198	0.274777606	-1.423246627
AGAP000080	X	1.179923054	6.82938095	6.815643002	1.668061821
AGAP000081	X	0.81635222	7.106307458	7.004467184	1.435180674
AGAP000082	X	-0.064931285	8.609181473	8.711210223	1.265576166
AGAP000083	X	2.435368791	2.743681329	3.513085093	1.163914036
AGAP000084	X	0.552069968	5.61580036	5.799555759	0.925968829
AGAP000085	X	-1.596032811	3.125996914	0.036245626	0.784277551
AGAP000086	X	-0.878757168	3.412109971	3.886182045	-1.079688725
AGAP000090	X	0.818536657	8.401576436	7.828059596	2.049017573
AGAP000091	X	-3.624084998	0.959942503	-1.645854224	1.956288565
AGAP000092	X	-0.032125923	7.159421183	7.48204284	0.929966015
AGAP000093	X	1.57608743	6.638536378	5.585416187	1.495710249
AGAP000094	X	-0.355088281	3.048692886	2.400655212	-2.357949248
AGAP000095	X	0.845711732	7.493990422	6.753128197	0.993967318
AGAP000096	X	2.690331379	-0.77122692	2.684693119	-0.549415559
AGAP000097	X	-2.362407098	0.308891014	-1.099658012	-0.529827477
AGAP000098	X	-0.664067024	7.748051903	8.28444347	0.300206226
AGAP000099	X	-0.329706832	2.63821689	3.569342895	-2.196906959
AGAP000100	X	-1.519908887	0.454207585	-0.181345248	0.548624297
AGAP000102	X	0.680290741	7.055786444	7.407821376	1.15626532
AGAP000104	X	-1.188415152	0.25025464	-0.064999653	0.737389525
AGAP000105	X	0.707019054	8.637796637	7.94451239	1.761035517
AGAP000106	X	2.164178585	6.106392579	5.182004369	2.370637678
AGAP000109	X	-0.38773461	0.78658193	0.093984266	-0.979152509
AGAP000110	X	3.542126693	4.504241646	3.859590677	2.183260449
AGAP000111	X	0.873932099	2.754826227	3.053561218	-0.383344142
AGAP000112	X	-0.790282029	7.885745088	8.597679909	0.057168449
AGAP000114	X	0.521397634	9.265189609	9.100500209	1.974348725
AGAP000115	X	2.283264957	5.704072767	3.864685991	3.692273607
AGAP000116	X	-0.818060377	7.569775688	7.52892425	-0.122381264
AGAP000117	X	1.185960455	-0.076443722	1.248574294	-0.62195077
AGAP000118	X	0.791238678	0.493243742	1.652808356	0.83997655
AGAP000119	X	0.236016049	-0.581820793	0.660250739	1.347884231
AGAP000120	X	-2.553279433	2.337382323	0.638399523	1.429385121
AGAP000121	X	1.865142081	6.785958843	5.933901248	2.12427796
AGAP000123	X	0.515344979	7.843737804	7.696561644	1.526694832
AGAP000124	X	-0.241307013	9.171475379	9.403168559	1.142037365
AGAP000126	X	-0.009017797	9.74881244	9.848327025	1.623158893
AGAP000127	X	0.364453152	3.954575294	3.829401779	-1.809667483
AGAP000128	X	1.129684101	7.128117947	6.595928708	1.031876114
AGAP000129	X	-0.257916205	8.681968903	8.973833012	0.919636798
AGAP000131	X	-0.457339842	6.395634781	7.222338149	1.19487651
AGAP000132	X	1.638228451	1.092779192	2.699602603	2.595486612
AGAP000133	X	-0.161060912	0.113089026	0.253008437	-0.043995899
AGAP000136	X	0.053797756	8.895480148	8.930266397	1.520362771
AGAP000137	X	0.377214391	8.354119171	8.395558636	1.478192532
AGAP000138	X	-0.756139675	3.677648085	2.188111037	-2.058609678
AGAP000139	X	-0.415231438	8.89153783	8.512540903	1.687095436
AGAP000140	X	0.995394088	7.587819802	6.828851894	0.895852596
AGAP000141	X	0.161947442	9.601141616	9.651616009	1.496954893
AGAP000142	X	0.876717758	8.043863961	7.715737349	1.625755403
AGAP000143	X	0.708949897	7.803446402	7.144087293	1.93134359
AGAP000144	X	0.36263041	7.727956224	7.557394209	1.55678674
AGAP000145	X	-0.390611865	0.466220298	0.288814552	-0.038851525
AGAP000146	X	1.619097536	7.371227345	6.668049436	1.745750793
AGAP000147	X	0.849883919	7.995440682	7.858990687	1.611235496
AGAP000149	X	-0.54259554	7.22080862	8.141929126	-0.458150114
AGAP000150	X	-0.656257402	3.840988107	4.319033761	-0.812882905
AGAP000151	X	-0.900322207	1.838584333	1.123639385	0.696209171
AGAP000152	X	-1.31344325	1.567708588	6.650552088	1.110620062
AGAP000153	X	-0.041034807	9.037458155	9.161085771	1.218359707
AGAP000154	X	-0.24819242	8.035941473	8.443088356	0.581181275
AGAP000156	X	-1.21168336	7.453550136	7.948971366	0.584862563
AGAP000158	X	-4.790631196	1.325579435	-2.42624452	3.553774077
AGAP000159	X	-1.179593155	7.275608768	6.8681103	-0.91784221
AGAP000161	X	0.386892006	8.88079848	8.707127079	1.75417125
AGAP000162	X	-1.589873069	7.053205456	6.939289003	0.012305395
AGAP000163	X	0.025458536	-0.415974254	0.965904272	0.456442161
AGAP000164	X	1.63797453	7.363646531	6.720905028	1.96125587
AGAP000165	X	-2.214012236	0.422702856	-0.786815052	1.291714229
AGAP000166	X	-0.805085171	6.306906224	7.334286648	0.223239732
AGAP000167	X	-0.967806218	5.007083651	2.20980942	-3.146126183
AGAP000168	X	0.128977251	8.149131978	8.147115437	1.433059068
AGAP000169	X	0.070284594	9.680765914	9.720682242	1.664939288
AGAP000170	X	-2.077976201	1.573863297	-1.15882977	0.771615662
AGAP000171	X	-0.613329818	7.71096689	8.140113725	1.020612461
AGAP000172	X	0.92469732	0.611565312	2.435935785	-1.232772206
AGAP000173	X	0.004371286	5.714537954	4.090873672	-1.098872713
AGAP000175	X	2.205368496	4.24606216	5.047977556	0.665903208
AGAP000177	X	-1.981072589	0.126273403	-0.119417648	1.618089912
AGAP000179	X	-1.430208914	3.031344155	2.778862002	-1.663368441
AGAP000180	X	-2.26682436	2.022008301	-1.147358749	-1.310326379
AGAP000181	X	1.456612863	7.635653508	6.904296726	2.124543246
AGAP000182	X	1.977022532	6.555286553	6.192775913	1.830470308
AGAP000183	X	0.714799543	7.41013849	7.163042375	1.528783422
AGAP000184	X	-3.209658033	3.919464304	-1.76714287	6.412382821
AGAP000185	X	0.576774232	7.866271368	7.137140306	1.710931262
AGAP000187	X	-1.162166775	7.872565547	8.651380509	-0.233504281
AGAP000188	X	-0.193205929	-0.638887525	0.705274279	0.671157757
AGAP000189	X	0.137786141	9.772005115	9.820363426	1.749823839
AGAP000190	X	3.442339842	4.502712306	4.591389928	1.944296077
AGAP000191	X	0.674751506	6.665092093	5.934988331	-0.0319114
AGAP000192	X	-1.89490476	4.77498885	7.437095833	-0.656150488
AGAP000193	X	-0.86780673	8.033057714	7.850424358	0.161638076
AGAP000194	X	-0.50956931	7.511486866	8.03875174	0.436636988
AGAP000195	X	-0.825960067	8.375538359	9.020971809	0.244725075
AGAP000196	X	0.072786105	9.102578739	9.181761165	1.559531637
AGAP000198	X	0.159759916	9.895864927	9.902447329	1.80094796
AGAP000199	X	0.263766911	4.899271963	3.031226004	-3.112521389
AGAP000200	X	-0.020174342	8.4266377	8.74024043	1.329385828
AGAP000201	X	1.021061062	7.513607723	7.365900108	1.842694059
AGAP000203	X	-1.178021306	8.483947303	8.917915932	0.449915504
AGAP000204	X	-1.188616383	7.260832157	7.491974338	0.834498232
AGAP000205	X	0.230205467	9.692843648	9.698921429	1.790017208
AGAP000206	X	0.305972907	2.037896435	1.657848351	-1.615412838
AGAP000207	X	-2.195977206	0.41062038	2.198255703	2.259056704
AGAP000208	X	3.757456769	4.332816078	4.616993698	2.254712481
AGAP000209	X	0.416955966	8.635642111	8.432576463	1.580639844
AGAP000210	X	3.479168264	5.034980561	5.48614354	2.250292847
AGAP000211	X	-4.525225511	-0.174739345	-0.79917595	2.423537872
AGAP000214	X	3.00607922	2.689283624	3.81590221	1.080655486
AGAP000215	X	1.42711142	6.786851286	5.508587804	1.89520836
AGAP000216	X	-0.110703186	7.662592437	8.441280964	0.926773637
AGAP000217	X	-0.587322789	8.376880002	8.717911043	0.571335849
AGAP000218	X	-4.579457854	1.061935339	-2.140477433	3.13866108
AGAP000219	X	-0.301255767	8.053737612	7.288850873	2.160320258
AGAP000220	X	-0.811137133	6.683031017	7.808566	-0.084609619
AGAP000222	X	0.051901999	10.06418657	10.18849636	1.758737168
AGAP000223	X	2.17722335	6.092490406	5.470379188	1.180100588
AGAP000225	X	-0.469797256	8.598665663	8.806053124	0.930928108
AGAP000226	X	-0.815821982	7.702836766	8.194733306	0.382950301
AGAP000228	X	0.558117155	2.309782315	-0.795956964	-2.709831845
AGAP000230	X	4.025078924	-2.759472065	6.923695133	-0.645554172
AGAP000232	X	0.165514187	9.476583865	9.506301316	1.706617051
AGAP000233	X	-0.681651102	8.246995535	8.941824453	0.539076403
AGAP000234	X	-1.001315147	5.451253564	2.699286783	-3.711336932
