chro	tsne_p50_1	tsne_p50_2	tsne_p100_1	tsne_p100_2	tsne_p250_1	tsne_p250_2	tsne_p1000_1	tsne_p1000_2
AGAP000002	X	-52.16177352	-28.68742153	41.87774792	6.962367807	-0.983531843	-9.044143025	2.462333627	0.303710616
AGAP000005	X	29.21322291	-3.774351991	8.629020728	-4.752652105	0.494107116	-0.657880779	0.333112219	0.031348321
AGAP000007	X	-69.74540708	39.85880387	-0.60904286	68.18449771	7.35327297	15.21238843	-2.182013851	-2.458871476
AGAP000008	X	-66.3586756	39.17860795	2.145731662	58.68541577	6.863368767	12.98430135	-1.667942914	-1.799368859
AGAP000009	X	-56.21696835	38.43034321	5.529267933	59.77039066	6.992068915	13.2519785	-2.067554317	-1.979275924
AGAP000010	X	-40.74241763	-106.4050842	-54.58265909	65.06111609	-9.541008926	20.20807284	-0.396548379	-3.989979877
AGAP000011	X	3.495076447	-79.05342898	-51.09475856	22.29413891	-9.761914889	10.33049884	0.660158724	1.46697572
AGAP000012	X	-71.85867234	-96.39237447	-30.10549503	72.84586766	-1.316456937	20.76764247	-1.85189062	-3.382598543
AGAP000013	X	-3.508585489	-39.3372248	-36.74753149	19.83122711	-7.5986957	4.111562054	0.378219326	0.724411775
AGAP000015	X	-47.33063663	-113.9383933	-58.75041658	70.07323012	-9.225058204	21.76980136	-0.790018923	-5.039478439
AGAP000016	X	-63.09522492	23.88712164	-11.22279747	60.34096943	3.885119778	14.96806611	-1.631052224	-1.732938001
AGAP000017	X	-67.30101905	-110.7194723	-49.29568752	80.64644763	-4.812168359	23.65686097	-1.714026418	-4.940286963
AGAP000018	X	-39.33589511	-108.0936371	-55.97681889	64.10513067	-9.580137857	20.09587115	-0.524434027	-4.520378721
AGAP000019	X	-66.27299115	-113.1990571	-50.12078408	82.03441306	-4.709055706	23.67383587	-1.763465753	-4.642262845
AGAP000020	X	-61.33857488	-122.9502936	-59.20540674	81.82744145	-7.174261969	24.42566736	-1.321752545	-5.419648177
AGAP000021	X	-46.72441788	19.14632117	5.671864851	46.86750709	5.549291907	10.67644364	-0.744332759	-0.987193541
AGAP000022	X	-70.80480944	-94.30219266	-29.53903581	71.71426905	-0.884357956	20.5295097	-2.068806242	-2.826194592
AGAP000023	X	-28.23428083	-86.46701401	-56.53892553	46.09742222	-5.062758024	16.08867495	-0.810410575	-3.052927577
AGAP000025	X	-45.81750412	-122.7625667	-65.09381325	71.13403102	-7.046329893	20.70260051	-0.947183569	-4.730588585
AGAP000028	X	-51.44622189	-89.66887948	-40.56457615	57.37180006	-2.232207115	17.60901815	-0.828940254	-0.271041821
AGAP000029	X	-59.92210559	-117.9246558	-56.26359714	80.18158926	-6.944181677	24.18241188	-1.294351914	-5.350654776
AGAP000032	X	-63.97475058	-117.1610681	-54.02649874	81.15303025	-6.066363762	23.93059066	-1.405813454	-5.171268442
AGAP000033	X	-30.52431185	-90.84939218	-55.88888479	57.98193057	-8.360434259	18.31842701	-0.742601017	-4.077792753
AGAP000035	X	-58.38764228	-124.4515583	-60.96766296	80.06536547	-7.712110036	24.32834142	-1.285066673	-5.50508077
AGAP000037	X	-55.24046668	-118.4493473	-58.23659167	76.48356961	-7.254611626	23.17479908	-1.211977372	-5.164328268
AGAP000038	X	-46.93101421	-97.40709019	-46.6325604	64.17858284	-6.335501299	19.03117357	-0.760961357	-3.803300433
AGAP000039	X	-9.005708462	28.90114835	-17.96726081	42.62561371	0.616881913	12.79505229	-1.817249336	-0.565010418
AGAP000040	X	-31.24655845	-112.779328	-63.49955765	59.55972926	-7.688576647	18.5486526	-0.791698238	-4.172816033
AGAP000041	X	-56.4205615	-93.30778703	-40.39237577	62.24726416	-4.008555314	19.87300457	-1.184661179	-3.996051293
AGAP000042	X	-59.96414088	-126.0578327	-61.71858463	81.70522619	-7.332695324	24.55543907	-1.361949278	-5.446808199
AGAP000043	X	-37.21138988	-109.3622844	-57.49023384	63.06850873	-8.321756602	19.84374872	-0.734006608	-4.564652965
AGAP000044	X	-50.99698886	-91.46202975	-42.00123341	57.50282383	-4.67135469	18.13422606	-0.903926018	-3.567990415
AGAP000045	X	-50.7190455	-104.9911846	-50.35767627	69.06478681	-6.33885638	20.57972499	-0.978875876	-4.383746267
