gene_name	chro	tsne1	tsne2	fst-general	fst-2l	fst-2r	fst-east-central_	fst-east_west	fst-east-west_ctral	fst-m_s	fst-sex	fst-west-central	snp	chro2	chro3	non	syn	snp2	aom	bfm	bfs	cms	gas	gns	gwa	kes	ugs	fst_avr	tsne_p50_1	tsne_p50_2	gene_start	gene_end	nature	nature2	inv2r	inv2r2
AGAP000002	X	-5.173470071	-0.953897422	0.158742508	0.008659656	0.006147887	0.212290946	0.24227075	0.24711304	0.070936939	0.002473502	0.011411037	152	X	X	73	81	154	0.076277983	0.057008626	0.009528578	0.006552485	0.035982055	0.011650018	0.050256315	0.328556126	0.209800432	0.087290291	-27.21354094	56.63656342	582	16387	1	geo	0	0
AGAP000005	X	-1.074953511	-0.00228343	0.038388795	0.001232045	0.004623901	0.003516082	0.008405157	0.027921111	0.017823135	0.004668321	0.02143932	26	X	X	5	22	27	0.009927425	0.006842325	-0.000606166	0.005634085	0.034827077	-0.002812135	0.154209091	0.023422754	0.008108476	0.026616992	23.07646203	15.2055608	32382	38843	1	geo	0	0
AGAP000007	X	3.9880107	5.156444193	0.281807282	0.062712662	0.016731805	0.060899747	0.035796325	0.039845438	0.235505394	0.01149863	0.06739904	220	X	X	85	141	226	0.369541652	0.300265935	0.015522032	0.033698833	0.326479071	0.016794318	0.00972504	0.243829446	0.023325935	0.148798029	-85.63714804	2.256189195	83817	88773	1	geo	0	0
AGAP000008	X	3.795448102	4.486492367	0.264501644	0.024644028	0.023416409	0.051184641	0.043004776	0.041859757	0.201446501	0.013245827	0.029083005	74	X	X	25	49	74	0.168354047	0.173715059	0.02244522	0.02161805	0.482101791	-0.001062756	0.009868488	0.3351866	0.0223639	0.137176711	-72.6835436	12.49386724	90142	94903	1	geo	0	0
AGAP000009	X	3.943395803	4.573642318	0.214601723	0.022228969	0.044286138	0.038468716	0.027125061	0.022847526	0.164301759	0.028648922	0.021478363	163	X	X	57	110	167	0.307176437	0.084397891	0.022378359	0.040904745	0.354859713	0.014665159	0.025592467	0.189182805	0.020202514	0.117706677	-72.75604739	15.1868354	97670	114021	1	geo	0	0
AGAP000010	X	-1.055783391	7.595526193	0.160916138	0.022707134	0.013588113	0.046128399	0.031451881	0.027942689	0.035389261	0.021045823	0.030862982	84	X	X	39	47	86	0.138591839	0.157636673	0.006994497	0.037755561	0.159758385	0.013237872	0.090035726	0.263959015	0.01805877	0.098447593	-104.5042356	-44.60098261	120773	123499	1	geo	0	0
AGAP000011	X	-1.264335155	4.701327292	0.055460517	0.009292817	0.019430689	0.005777739	0.006351831	0.01821631	0.026876804	0.014226153	0.016564554	66	X	X	14	54	68	0.071567546	0.018542524	0.020236431	0.015528392	0.097916209	0.00646372	0.053108543	0.029746893	0.006480609	0.035510096	-16.09943648	-45.50502511	127704	134756	1	geo	0	0
AGAP000012	X	2.037609513	7.156395487	0.17260526	0.016492951	0.028530423	0.026009838	0.019436671	0.016116858	0.113396874	0.032811971	0.011830573	127	X	X	57	72	129	0.246459423	0.060066588	0.035981038	0.028530494	0.322018017	0.005248218	0.040778217	0.131284865	0.011327282	0.097966016	-105.3396497	-6.403132204	146181	147744	1	geo	0	0
AGAP000013	X	-0.330036698	2.660070399	0.043581322	0.015044143	0.000523762	0.010996665	0.009905653	0.024776875	0.044288462	0.00538465	0.025395896	73	X	X	24	54	78	0.01078832	0.125562812	0.00124118	0.007460947	0.028244926	0.002060936	0.010547394	0.026398152	0.015009032	0.025257078	-22.1785534	-29.26655334	148957	163951	1	geo	0	0
AGAP000015	X	-0.975628311	8.829443694	0.099222033	0.00934772	0.008310345	0.061551855	0.06809274	0.088833792	0.075280785	0.012536512	0.016882482	733	X	X	277	491	768	0.140567585	0.072010692	0.005340084	0.007746385	0.078202599	0.003978294	0.074149952	0.162249446	0.034981893	0.064358548	-123.0204626	-40.37472426	192291	201940	1	geo	0	0
AGAP000016	X	3.421706925	3.911238923	0.119675356	0.015496237	0.009871182	0.049699416	0.045048556	0.052042526	0.092626584	0.004561348	0.018431696	193	X	X	121	80	201	0.158101971	0.088314276	0.004605733	0.010734991	0.206298977	0.004164467	0.067651058	0.099494663	0.02832423	0.074187818	-72.82734469	0.303355846	204264	207141	1	geo	0	0
